id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,trip_duration
id2911097,2,19-06-2016 02:56,19-06-2016 03:17,5,-73.94332886,40.78945923,-73.89604187,40.74472046,N,1273
id3176373,2,22-05-2016 23:22,22-05-2016 23:50,1,-73.78945923,40.64699936,-73.98188019,40.6705513,N,1711
id3072336,1,08-03-2016 17:48,08-03-2016 17:58,1,-73.97822571,40.76293182,-73.97682953,40.78245544,N,620
id3983319,1,05-06-2016 13:48,05-06-2016 14:22,1,-73.97422791,40.75666428,-73.78986359,40.64311981,N,2048
id1529528,1,23-02-2016 09:36,23-02-2016 09:54,1,-73.96046448,40.77274323,-73.98008728,40.76099396,N,1100
id1416976,2,03-06-2016 07:28,03-06-2016 07:43,1,-73.95166779,40.76980591,-73.98144531,40.75691986,N,907
id3465832,1,30-06-2016 09:58,30-06-2016 10:03,2,-73.95352173,40.77859497,-73.94868469,40.77824783,N,258
id0913911,2,07-04-2016 21:12,07-04-2016 21:45,1,-73.96983337,40.76272202,-73.99452972,40.69023132,N,1990
id1503971,1,27-06-2016 12:50,27-06-2016 13:02,3,-73.96099854,40.76915741,-73.98203278,40.77636719,N,670
id1089531,2,16-04-2016 16:12,16-04-2016 16:20,5,-73.99529266,40.75992966,-73.97982025,40.77775955,N,476
id0823099,2,18-02-2016 10:13,18-02-2016 10:17,2,-73.97263336,40.78669739,-73.98084259,40.77452087,N,256
id0161373,2,29-01-2016 16:17,29-01-2016 16:27,1,-74.0043869,40.72856522,-73.99536896,40.73081207,N,601
id0035658,1,25-01-2016 08:36,25-01-2016 08:41,1,-73.98168182,40.770504,-73.98194885,40.77710342,N,266
id1517235,2,10-06-2016 17:01,10-06-2016 17:26,2,-73.9812088,40.75923157,-73.96611786,40.8015213,N,1508
id3214849,1,17-03-2016 17:24,17-03-2016 17:30,1,-73.96376801,40.77122116,-73.95849609,40.77854919,N,391
id2147494,2,02-04-2016 22:45,02-04-2016 22:56,2,-73.9702301,40.7498703,-73.95214081,40.78136063,N,644
id1875770,1,30-06-2016 08:40,30-06-2016 09:09,1,-73.95521545,40.78610611,-73.98173523,40.7521286,N,1706
id0002413,1,09-04-2016 19:33,09-04-2016 19:48,1,-74.00442505,40.72854614,-73.99062347,40.74597168,N,864
id0230634,1,02-02-2016 00:08,02-02-2016 00:15,1,-73.9695282,40.67536545,-73.97740936,40.69657516,N,403
id0022211,2,16-02-2016 11:45,16-02-2016 11:55,1,-73.98209381,40.74311829,-73.98767853,40.75078964,N,581
id0334829,2,15-04-2016 07:56,15-04-2016 08:08,1,-73.97596741,40.74398041,-73.97058868,40.75664139,N,754
id3106879,2,24-01-2016 09:59,24-01-2016 10:06,1,-73.98252869,40.61279297,-73.99317169,40.60260773,N,434
id3836712,2,08-03-2016 20:39,08-03-2016 20:51,2,-73.96421814,40.77047729,-73.9411087,40.81427383,N,698
id0180457,2,17-03-2016 22:16,17-03-2016 22:27,1,-73.98074341,40.75062943,-73.99407959,40.74890137,N,648
id3237210,1,20-01-2016 21:56,20-01-2016 22:17,1,-74.00389862,40.71315002,-73.99287415,40.69778061,N,1255
id2643287,2,14-05-2016 02:41,14-05-2016 03:05,1,-73.98879242,40.7348938,-73.95026398,40.72279358,N,1436
id0308395,2,25-03-2016 16:45,25-03-2016 17:00,1,-73.99259949,40.72386932,-73.96440887,40.71953964,N,956
id0572918,2,09-01-2016 21:21,09-01-2016 21:29,6,-73.97529602,40.74956512,-73.97462463,40.76202011,N,477
id3779894,2,14-06-2016 06:04,14-06-2016 06:12,1,-73.98078156,40.77986526,-73.98168182,40.75239182,N,428
id0178578,2,16-05-2016 19:51,16-05-2016 20:01,1,-73.98056793,40.75120163,-73.97835541,40.73085785,N,617
id1161637,2,03-05-2016 09:31,03-05-2016 09:56,1,-73.9670105,40.76676178,-73.94039154,40.84059906,N,1488
